chs, cq, pinyin, eng, pos

# A
崖, ai2, ya2, cliff, n
岩, ai2, yan2, stone, n
癌, ai2, ai2, cancer, n
爱, ai4, ai4, love, v
安, an1, an1, safe, adj
暗, an4, an4, dark, adj
按, an4, an4, press, v
奥, ao4, ao4, olympic, n

# B
拜, bai1, bai1, lame, adj  # 指足拜，跛
摆, bai3, bai3, swing, v
班, ban1, ban1, class, n
版, ban3, ban3, version, n
半, ban4, ban4, half, n
办, ban4, ban4, deal, v
棒, bang4, bang4, stick, n
包, bao1, bao1, bag, n
爆, bao4, bao4, explode, v
报, bao4, bao4, report, v
豹, bao4, bao4, leopard, n
白, be2, bai2, white, adj, cover=false
百, be2, bai3, hundred, n
杯, bei1, bei1, cup, n
倍, bei4, bei4, times, n
壁, bi2, bi4, wall, n
必, bi2, bi4, must, aux
闭, bi4, bi4, close, v
变, bian4, bian4, change, v
表, biao3, biao3, watch, n
别, bie2, bie2, other, n
丙, bin3, bing3, C, n
病, bin4, bing4, illness, n
薄, bo2, bao2, thin, adj
博, bo2, bo2, phd, n
不, bu2, bu4, not, adv
百万, be2 wan4, bai3 wan4, million, n

# C
差, ca1, cha1, gap, n
才, cai2, cai2, just, adv
菜, cai4, cai4, vegetable, n
长, cang2, chang2, long, adj
场, cang2, chang3, field, n
藏, cang2, cang2, hide, v
草, cao3, cao3, grass, n
造, cao4, zao4, build, v
车, ce1, che2, car, n
陈, cen2, chen2, old, name
城, cen2, cheng2, city, n
成, cen2, cheng2, success, v
橙, cen2, cheng2, orange, n
吃, ci2, chi1, eat, v
词, ci2, ci2, word, n
磁, ci2, ci2, magnetic, adj
次, ci4, ci4, time, n
出, cu2, chu1, out, v
除, cu2, chu2, divide, v
穿, cuan1, chuan1, wear, v
川, cuan1, chuan1, river, n
船, cuan2, chuan2, ship, n
传, cuan2, chuan2, spread, v
蠢, cun3, chun3, stupid, adj
重大, cong2 da4, chong2 da4, double big, n
重庆, cong2 qin4, chong2 qing4, double celebrity, n
出来, cu2 lai2, chu1 lai2, out, v

# D
打, da3, da3, fight, v
大, da4, da4, big, adj
袋, dai4, dai4, bag, n
代, dai4, dai4, represent, v
带, dai4, dai4, bring, v
单, dan1, dan1, single, adj
倒, dao4, dao4, reverse, v
到, dao4, dao4, arrive, v
导, dao4, dao3, navigate, v
道, dao4, dao4, road, n
得, de2, de2, gain, v
等, den3, deng3, wait, v
地, di4, di4, ground, n
弟, di4, di4, brother, n
点, dian3, dian3, point, n
丁, din1, ding1, D, n
多, do1, duo1, many, adj
都, dou1, dou1, both, adv
度, du4, du4, degree, n
肚, du4, du4, belly, n
达死, da2 si3, da2 di3, fall die, v
电视, dian4 si4, dian4 shi4, tv, n

# E
恩, en1, en1, kindness, n
儿, er2, er2, son, n
耳, er3, er3, ear, n
而且, er2 qie3, er2 qie3, and, conj

# F
