序号,单词,词性、词义,词义,,,
1,accept,vt.接受;领受;认可;同意,vi.同意;认可,,,
2,ache,vi.痛;哀怜,n.(指连续)疼痛、酸痛,,,
3,achieve,vt.实现;完成;达到;得到vi.达到预期目的,,,,
4,act,v.表演;举动;起作用,n.行为;法令;一幕,,,
5,add,vt.加;增加(进);进一步说/写,vi.(to)增添,,,
6,admire,vt.钦佩;赞赏;羡慕;称赞;夸奖,,,,
7,admit,vt.承认;供认;准许…进入;准许…加入,,,,
8,advertise,vt.公告;公布;为…做广告,vi.登广告,,,
9,advise,vt.忠告;劝告;建议;通知;告知,,,,
10,affect,vt.影响;作用;(疾病)侵袭;感动,,,,
11,afford,vt.担负得起(损失、费用、后果等);买得起,,,,
12,agree,vi.答应;赞同;适合;一致;商定;约定,,,,
13,allow,vt.允许;准许;承认;给予,vi.(for)考虑到,,,
14,announce,v.正式宣布;发表;通告;广播(电台节目),,,,
15,answer,vt.回答;答复;答案,v.回答;答复;响应,,,
16,apologize,v.道歉;认错;辩护;辩解[=apologise],,,,
17,appear,vi.出现;出场;问世;仿佛;出版;发表,,,,
18,appreciate,vt.为…表示感激;感谢;欣赏;赏识;评价,,,,
19,are,v.是(be的第二人称单数和各人称的复数形式),,,,
20,argue,vi.辩论;争论,vt.辩论;论证;说服;劝说,,,
21,arise,v.出现;发生;(from)由…引起;由…产生,,,,
22,arouse,vt.唤醒;叫醒;唤起;激起,,,,
23,arrange,v.安排;筹划;整理;使有条理;排列;布置,,,,
24,arrive,vi.到达;(时间、事件)到来;发生;达到,,,,
25,ask,vt.问;询问;请求;要求;邀请;约请,,,,
26,astonish,vt.使惊讶;使吃惊,,,,
27,attack,v./n.攻击;抨击;着手;开始,n.(病)发作,,,
28,attempt,vt.企图;试图,n.努力;尝试;企图,,,
29,attend,vt.出席;参加;照顾;护理,vi.注意;侍奉,,,
30,attract,vt.引起的注意(或兴趣等);吸引;引起;激起,,,,
31,attribute,v.(to)归于;视为n.属性,,,,
32,avoid,vt.防止;避免;逃避;避开,,,,
33,await,vt.等候;期待;(事情等)降临于,,,,
34,award,vt.授予(奖品等)给予,n.奖;奖品;奖学金,,,
35,bake,v.烤;烘;焙;烧硬;烘干(砖块、陶器等),,,,
36,ban,v.取缔;查禁;(from)禁止,n.禁止;禁令,,,
37,bathe,vt.给…洗澡;把…浸入,vi.洗澡;游,n.游泳,,
38,be,v.(就)是;等于;(存)在;到达;来到;发生,,,,
39,bear,v.经得起;倾向于;携带;生育;承担;怀有,,,,
40,beat,v.(接连地)打;击;心脏等跳动;打败;战胜,,,,
41,become,vi.变成;开始变得vt.适合;同…相称,,,,
42,beg,vt.请求;乞求,vi.恳请;行乞,,,
43,begin,v.(began;begun)开始;着手,,,,
45,believe,vt.相信;认为,vi.相信;信任;信奉,,,
46,belong,v.在(分类上)属;应归入;在所有权等方面属于,,,,
47,bite,v.咬;叮n.咬;叮;咬的伤口;一口食物,,,,
48,blame,vt.责备;怪;怨;把…归咎于,n.责任;责备,,,
49,bleed,v.(使)流血;从…取血;从…抽取液体或空气,,,,
50,bless,v.有幸得到;有幸具有;为…祈求上帝赐福,,,,
51,blow,vi.吹;吹气;打气;爆炸;爆裂,n.打;打击,,,
52,boil,v.沸腾;(水)开;使沸腾;用开水煮,,,,
53,borrow,vt.借;借入;(思想、文字等)采用;抄袭,,,,
54,break,vt.打破;中止;违反,vi.破(裂),n.休息时间,,
55,bring,v.拿来;带来;产生;引起;使处于某种状态,,,,
